policy_id,customer_id,policy_type_code,region_id,current_agent_id,nominee_name,sum_assured,premium_amount,policy_start_date,date_of_purchase,purchase_quarter,purchase_year,purchase_month,policy_end_date,date_of_maturity,status,last_paid_date,premium_payment_term,policy_term,loan_eligible,lock_in_period_months,claim_reason,underwriting_expenses,surrender_amount,total_premium_paid,payment_gap_months,amount_withdrawn,maturity_amount,total_premium_payable,fraud_risk_flag
POL0000001,CUST001614,PP04,RGN035,AGT0293,Rahul Menon,2643068,49237,2010-10-28,2010-10-27,Q4,2010,10,2017-10-28,2017-10-28,Matured,2016-09-26,6,7,N,60,,5286,0,295422.0,0,0,424712,295422,N
POL0000002,CUST001717,PP01,RGN020,AGT0300,Karan Rajan,2481075,55228,2018-12-11,2018-12-05,Q4,2018,12,2036-12-11,2036-12-11,Active,2025-05-08,9,18,Y,0,,8792,0,358982.0,0,0,0,497052,N
POL0000003,CUST007217,PP09,RGN036,AGT0120,Poonam Verma,1321897,92769,2019-05-03,2019-05-02,Q2,2019,5,2028-05-03,2028-05-03,Active,2025-05-01,9,9,N,60,,11859,0,564344.75,0,150401,0,834921,N
POL0000004,CUST007671,PP03,RGN033,AGT0004,Shweta Kumar,929350,57755,2016-07-23,2016-07-22,Q3,2016,7,2023-07-23,2023-07-23,Matured,2023-06-17,7,7,N,60,,9011,0,404285.0,0,0,556113,404285,N
POL0000005,CUST006107,PP10,RGN003,AGT0163,Poonam Chakraborty,3848077,21425,2013-10-29,2013-10-24,Q4,2013,10,2030-10-29,2030-10-29,Active,2024-09-01,11,17,Y,0,,1752,0,235675.0,0,0,0,235675,N
POL0000006,CUST001775,PP03,RGN019,AGT0181,Uday Deshpande,925104,115526,2014-03-23,2014-03-16,Q1,2014,3,2029-03-23,2029-03-23,Active,2025-04-24,15,15,N,60,,20770,0,1299667.5,0,427264,0,1732890,N
POL0000007,CUST003160,PP09,RGN036,AGT0222,Priya Patil,356035,49119,2010-04-03,2010-03-31,Q2,2010,4,2016-04-03,2016-04-03,Matured,2015-03-08,5,6,N,60,,5963,0,245595.0,0,0,471829,245595,N
POL0000008,CUST004803,PP05,RGN019,AGT0298,Rekha Rao,687344,61854,2013-05-05,2013-05-04,Q2,2013,5,2021-05-05,2021-05-05,Matured,2019-04-04,6,8,N,60,,9195,0,371124.0,0,0,546219,371124,N
POL0000009,CUST005676,PP03,RGN018,AGT0126,Vinod Menon,665509,18753,2010-05-23,2010-05-22,Q2,2010,5,2021-05-23,2021-05-23,Matured,2019-04-06,9,11,N,60,,1750,0,168777.0,0,0,227139,168777,N
POL0000010,CUST002047,PP02,RGN041,AGT0212,Zara Agarwal,489140,64472,2011-05-25,2011-05-25,Q2,2011,5,2030-05-25,2030-05-25,Active,2022-03-28,11,19,Y,0,,8108,0,709192.0,0,0,0,709192,N
POL0000011,CUST006224,PP09,RGN029,AGT0188,Vishal Shah,2333248,99928,2021-07-17,2021-07-16,Q3,2021,7,2028-07-17,2028-07-17,Active,2025-05-27,6,7,N,60,,9494,0,391384.67,0,0,0,599568,N
POL0000012,CUST002635,PP02,RGN003,AGT0164,Sandeep Singh,5581032,53560,2020-02-21,2020-02-19,Q1,2020,2,2035-02-21,2035-02-21,Active,2025-05-25,11,15,Y,0,,5626,0,285653.33,0,0,0,589160,N
POL0000013,CUST008498,PP06,RGN012,AGT0087,Manoj Joshi,1959210,58417,2023-03-27,2023-03-20,Q1,2023,3,2044-03-27,2044-03-27,Active,2025-06-14,7,21,N,0,,5021,0,131438.25,0,0,0,408919,N
POL0000014,CUST002384,PP04,RGN024,AGT0048,Mohit Patel,2782652,57437,2016-06-26,2016-06-23,Q2,2016,6,2031-06-26,2031-06-26,Active,2025-01-10,13,15,N,60,,11012,0,497787.33,4,0,0,746681,N
POL0000015,CUST001072,PP03,RGN021,AGT0051,Aditya Shetty,4251928,55290,2019-12-05,2019-12-03,Q4,2019,12,2033-12-05,2033-12-05,Active,2025-05-07,10,14,N,60,,5489,0,304095.0,0,51848,0,552900,N
POL0000016,CUST009996,PP09,RGN022,AGT0198,Shruti Shah,622333,22150,2020-04-05,2020-03-30,Q2,2020,4,2027-04-05,2027-04-05,Active,2025-03-10,5,7,N,60,,2168,0,110750.0,0,0,0,110750,N
POL0000017,CUST005880,PP06,RGN022,AGT0091,Sunita Agarwal,2904061,92828,2022-06-01,2022-05-29,Q2,2022,6,2061-06-01,2061-06-01,Active,2025-05-16,11,39,N,0,,9711,0,278484.0,0,0,0,1021108,N
POL0000018,CUST000179,PP06,RGN004,AGT0122,Shweta Verma,4032788,22343,2018-02-13,2018-02-09,Q1,2018,2,2052-02-13,2052-02-13,Active,2025-05-07,32,34,Y,0,,2731,0,163848.67,0,0,0,714976,Y
POL0000019,CUST003398,PP10,RGN024,AGT0097,Prakash Pillai,2405196,21490,2019-01-27,2019-01-26,Q1,2019,1,2048-01-27,2048-01-27,Active,2025-05-25,9,29,Y,0,,4210,0,137894.17,0,0,0,193410,N
POL0000020,CUST003286,PP06,RGN016,AGT0034,Sandeep Sharma,758574,59547,2014-09-03,2014-09-02,Q3,2014,9,2037-09-03,2037-09-03,Active,2025-04-08,18,23,Y,0,,9353,0,640130.25,0,0,0,1071846,N
POL0000021,CUST001437,PP08,RGN028,AGT0084,Vikram Srivastava,719851,94608,2010-03-13,2010-03-10,Q1,2010,3,2028-03-13,2028-03-13,Active,2025-03-24,16,18,Y,0,,16885,0,1442772.0,0,0,0,1513728,N
POL0000022,CUST006984,PP08,RGN038,AGT0084,Deepa Desai,328483,52117,2022-06-02,2022-06-02,Q2,2022,6,2046-06-02,2046-06-02,Active,2025-01-17,16,24,N,0,,10027,0,138978.67,4,0,0,833872,N
POL0000023,CUST002811,PP04,RGN033,AGT0283,Akash Pillai,1682954,22478,2015-04-25,2015-04-21,Q2,2015,4,2026-04-25,2026-04-25,Active,2025-05-02,11,11,N,60,,3391,0,228526.33,0,0,0,247258,N
POL0000024,CUST007692,PP09,RGN024,AGT0100,Vishal Patel,607818,115826,2014-11-17,2014-11-16,Q4,2014,11,2025-11-17,2025-11-17,Lapsed,2025-04-23,11,11,N,60,,13737,0,1225825.17,0,211732,0,1274086,N
POL0000025,CUST002283,PP07,RGN014,AGT0106,Bhavna Balaji,560824,106327,2020-12-06,2020-12-05,Q4,2020,12,2048-12-06,2048-12-06,Lapsed,2025-05-14,25,28,Y,0,,20813,0,478471.5,0,0,0,2658175,N
POL0000026,CUST004581,PP03,RGN007,AGT0028,Tanvi Kulkarni,1262960,98535,2024-01-21,2024-01-18,Q1,2024,1,2031-01-21,2031-01-21,Active,2025-02-14,6,7,N,60,,14839,0,106746.25,4,0,0,591210,N
POL0000027,CUST006544,PP10,,AGT0272,Ramesh Rajan,1568736,20902,2022-01-28,2022-01-22,Q1,2022,1,2044-01-28,2044-01-28,Active,2025-06-11,7,22,Y,0,,3137,0,71415.17,0,0,0,146314,N
POL0000028,CUST005863,PP08,RGN029,AGT0088,Shruti Shah,633520,97167,2015-08-07,2015-08-03,Q3,2015,8,2040-08-07,2040-08-07,Active,2025-04-16,13,25,Y,0,,8150,0,955475.5,0,0,0,1263171,N
POL0000029,CUST006512,PP07,RGN020,AGT0132,Sunita Pillai,265123,52249,2014-04-08,2014-04-03,Q2,2014,4,2050-04-08,2050-04-08,Active,2021-01-01,7,36,Y,0,,5205,0,357034.83,2,0,0,365743,N
POL0000030,CUST006442,PP06,RGN026,AGT0278,Deepak More,1118417,112677,2011-07-24,2011-07-23,Q3,2011,7,2036-07-24,2036-07-24,Active,2025-04-11,25,25,Y,0,,11700,0,1568088.25,0,0,0,2816925,N
POL0000031,CUST000755,PP06,RGN046,AGT0152,Uday Mehta,2295811,111791,2012-12-11,2012-12-08,Q4,2012,12,2048-12-11,2048-12-11,Active,2025-04-07,14,36,Y,0,,9845,0,1397387.5,0,0,0,1565074,N
POL0000032,CUST006351,PP10,RGN042,AGT0271,Akash Pandey,599670,54443,2022-10-13,2022-10-11,Q4,2022,10,2042-10-13,2042-10-13,Active,2025-05-30,20,20,N,0,,6055,0,145181.33,0,0,0,1088860,N
POL0000033,CUST003829,PP08,RGN021,AGT0188,Anjali Tripathi,3975471,54885,2011-10-23,2011-10-19,Q4,2011,10,2029-10-23,2029-10-23,Active,2025-04-12,15,18,Y,0,,7881,0,750095.0,0,0,0,823275,N
POL0000034,CUST007521,PP01,RGN017,AGT0124,Prakash Joshi,1166694,112903,2021-07-19,2021-07-16,Q3,2021,7,2038-07-19,2038-07-19,Active,2024-11-30,12,17,Y,0,,13809,0,385751.92,6,0,0,1354836,N
