agent_id,name,experience_years,joining_date,region_id,performance_rating,languages_known,specialisation,product_wise_conversion_rate,median_ticket_size,sales_cycle_efficiency,drop_off_rate_after_first_call,upsell_conversion_percentage,sla_adherence
AGT0001,Swati Pillai,4,07-10-2022,RGN033,2.1,Tamil|Telugu,ULIP,0.125,34621,0.61,0.65,0.26,0.93
AGT0002,Kavya More,20,04-11-2021,RGN036,3.7,Oriya|Hindi,ULIP,0.418,88797,0.64,0.35,0.43,0.73
AGT0003,Lakshmi Jadhav,10,10-01-2019,RGN047,2.7,Kannada|English,Endowment,0.251,51743,0.48,0.52,0.27,0.86
AGT0004,Poonam Chaudhary,7,06-07-2007,RGN050,2.7,Oriya|Hindi,Mixed,0.187,41319,0.53,0.23,0.28,0.97
AGT0005,Aryan Singh,2,06-03-2022,RGN006,1.9,Tamil|English,ULIP,0.196,34727,0.55,0.58,0.22,0.86
AGT0006,Sneha Chaudhary,2,25-01-2020,RGN014,1.7,English,Endowment,0.166,32537,0.47,0.22,0.19,0.93
AGT0007,Harsha Reddy,1,28-04-2006,RGN038,2,Hindi|Telugu|English,ULIP,0.072,33339,0.44,0.23,0.32,0.88
AGT0008,Rahul Tripathi,15,07-08-2022,RGN014,3,Telugu|English,Mixed,0.366,68981,0.76,0.29,0.21,0.92
AGT0009,Yash Iyer,7,11-08-2012,RGN047,2.1,Kannada|English,ULIP,0.161,52931,0.69,0.18,0.12,0.64
AGT0010,Anjali Patel,10,06-05-2017,RGN030,2.9,Hindi|English,Mixed,0.281,64024,0.93,0.61,0.39,0.97
AGT0011,Aarav Saxena,1,02-07-2013,RGN011,1.4,English,Mixed,0.171,25697,0.56,0.48,0.34,0.86
AGT0012,Vijay Hegde,20,28-12-2017,RGN036,3.5,Hindi|Telugu|English,Endowment,0.38,80958,0.43,0.42,0.25,0.86
AGT0013,Amrita Deshpande,15,07-05-2018,RGN034,3.7,Tamil|Telugu,ULIP,0.36,66122,0.47,0.59,0.15,0.98
AGT0014,Gaurav Kulkarni,2,07-11-2010,RGN039,2,Kannada|English,Mixed,0.137,31183,0.55,0.17,0.31,0.52
AGT0015,Anjali Reddy,2,18-08-2017,RGN030,1.8,Oriya|Hindi,ULIP,0.081,36177,0.47,0.29,0.08,0.93
AGT0016,Sneha Venkatesh,2,07-02-2023,RGN016,1.2,Oriya|Hindi,Mixed,0.165,36021,0.91,0.16,0.4,0.77
AGT0017,Gaurav Tiwari,3,26-07-2018,RGN017,1.6,Oriya|Hindi,Mixed,0.111,33616,0.68,0.24,0.41,0.76
AGT0018,Aryan Jadhav,5,19-04-2022,RGN004,2.6,Tamil|English,WholLife,0.142,40464,0.81,0.4,0.22,0.84
AGT0019,Sapna Naik,4,13-04-2013,RGN001,1.6,Tamil|English,Endowment,0.181,45674,0.42,0.3,0.42,0.98
AGT0020,Sanjay Tripathi,3,01-07-2022,RGN003,2.3,Tamil|English,Endowment,0.178,34794,0.91,0.23,0.12,0.78
AGT0021,Suresh Bose,7,29-12-2022,RGN012,2.1,Telugu|English,WholLife,0.257,47745,0.61,0.12,0.24,0.74
AGT0022,Harsha Verma,2,08-02-2010,RGN013,1.9,Tamil|Telugu,WholLife,0.178,40275,0.58,0.58,0.44,0.85
AGT0023,Anil Das,3,03-08-2007,RGN018,1.5,Oriya|Hindi,Mixed,0.128,29452,0.42,0.43,0.19,0.86
AGT0024,Karan Gupta,4,07-04-2009,RGN021,2.2,Hindi|English,ULIP,0.149,41446,0.69,0.54,0.32,0.99
AGT0025,Shruti Kumar,4,28-05-2012,RGN048,2.1,Telugu|English,Mixed,0.117,42882,0.8,0.27,0.17,0.78
AGT0026,Shweta Saxena,12,01-12-2019,RGN027,3.1,Tamil|English,Mixed,0.243,62888,0.74,0.27,0.27,0.91
AGT0027,Prakash Menon,2,07-06-2015,RGN001,1.9,English,Mixed,0.155,31279,0.84,0.63,0.34,0.78
