customer_id,customer_name,phone_number,gender,marital_status,income,income_band,occupation,occupation_risk,age_at_entry,preferred_language,region_id
CUST000001,Ananya Kulkarni,8608106200,Female,Divorced,2345712,High,Business Owner,Medium,38,Oriya,RGN032
CUST000002,Siddharth Patil,7424420438,Female,Widowed,3315233,High,Business Owner,Medium,30,Hindi,RGN013
CUST000003,Priya Singh,6571983863,Female,Married,1878639,Upper-Middle,Pilot,High,63,Hindi,RGN004
CUST000004,Prakash Venkatesh,8066658004,Female,Married,254429,Low,Front Desk Executive,Low,45,Hindi,RGN005
CUST000005,Deepak Gupta,7973598933,Male,Married,163545,Low,Farmer,Medium,18,Hindi,RGN038
CUST000006,Vishal Hegde,87212XXXXX,Female,Married,111132,Low,Driver,High,40,Telugu,RGN018
CUST000007,Deepa Reddy,9484229405,Female,Married,295248,Low,Teacher,Low,30,Telugu,RGN018
CUST000008,Deepa Sharma,9202590947,Male,Married,316466,Middle,Teacher,Low,48,Hindi,RGN002
CUST000009,Kavya Sharma,8158328182,Female,Married,156454,Low,Driver,High,28,Hindi,RGN036
CUST000010,Ramesh Menon,9886153355,Female,Married,598818,Middle,Teacher,Low,36,Hindi,RGN039
CUST000011,Deepak Patel,8439878015,Male,Single,1769511,Upper-Middle,Software Engineer,Low,44,Hindi,RGN008
CUST000012,Anjali Mishra,9399305616,Male,Married,214768,Low,Farmer,Medium,48,Hindi,RGN029
CUST000013,Nandini Menon,8840858877,Male,Single,2899940,High,Software Engineer,Low,23,Hindi,RGN045
CUST000014,Karan Pandey,6435811288,Male,Married,141882,Low,Farmer,Medium,33,Hindi,RGN028
CUST000015,Aarav Kumar,6133613861,Female,Married,164931,Low,Teacher,Low,32,Hindi,RGN044
CUST000016,Gaurav Gowda,7075011024,Female,Married,493918,Middle,Teacher,Low,30,Hindi,RGN005
CUST000017,Nandini Rajan,6934667665,Male,Single,201303,Low,Driver,High,59,Telugu,RGN019
CUST000018,Kritika Mehta,6618091901,Male,Single,135187,Low,Farmer,Medium,42,Hindi,RGN038
CUST000019,Neha Srivastava,8814491476,Female,Married,380002,Middle,Teacher,Low,22,Hindi,RGN030
CUST000020,Shruti Mehta,9072832684,Male,Married,808531,Upper-Middle,Software Engineer,Low,49,Hindi,RGN001
CUST000021,Shweta Hegde,7450882100,Female,Single,439745,Middle,Real Estate Agent,Medium,63,Hindi,RGN015
CUST000022,Amrita Desai,9881435368,Male,Married,1607191,Upper-Middle,Software Engineer,Low,50,Hindi,RGN014
CUST000023,Tanvi Desai,7223943129,Male,Married,132930,Low,Farmer,Medium,19,Hindi,RGN010
CUST000024,Gaurav Joshi,6878141413,Male,Divorced,309560,Middle,Driver,High,32,Hindi,RGN035
CUST000025,Anjali Chaudhary,9552314913,Female,Married,94985,Low,Farmer,Medium,53,Hindi,RGN034
CUST000026,Rekha Shetty,8775949299,Female,Married,383270,Middle,Hardware Technician,Medium,29,Hindi,RGN045
CUST000027,Manoj Kumar,8562053364,Female,Married,226172,Low,Farmer,Medium,43,Hindi,RGN039
CUST000028,Sunita Reddy,8257775478,Female,Single,2948131,High,Pilot,High,47,Hindi,RGN012
CUST000029,Divya Venkatesh,6291428341,Female,Single,157346,Low,Farmer,Medium,26,Hindi,RGN030
CUST000030,Gaurav Deshpande,6080996930,Male,Married,640176,Middle,Teacher,Low,37,Hindi,RGN009
CUST000031,Sarika Pandey,8887256394,Female,Widowed,1136511,Upper-Middle,Software Engineer,Low,18,Telugu,RGN018
CUST000032,Akash Mishra,7788165803,Male,Married,391443,Middle,Driver,High,25,Hindi,RGN043
CUST000033,Aditya Agarwal,7827229927,Male,Married,1811818,Upper-Middle,Business Owner,Medium,34,Hindi,RGN002
CUST000034,Rajesh Chaudhary,8037314530,Female,Single,544202,Middle,Teacher,Low,23,Hindi,RGN037
CUST000035,Lakshmi Gowda,7856770051,Male,Married,177001,Low,Farmer,Medium,57,Hindi,RGN036
CUST000036,Zara Sharma,8498926659,Male,Single,402120,Middle,Real Estate Agent,Medium,20,Oriya,RGN032
CUST000037,Zara Pandey,6846386557,Male,Married,943912,Upper-Middle,Business Owner,Medium,32,Hindi,RGN034
CUST000038,Kritika Dubey,9908272318,Male,Married,244328,Low,Driver,High,39,Hindi,RGN049
CUST000039,Isha Balaji,8322259136,Male,Married,1634986,Upper-Middle,Software Engineer,Low,55,Hindi,RGN047
CUST000040,Meera Hegde,8177739260,Female,Married,2381971,High,Software Engineer,Low,20,Hindi,RGN041
